Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1822190,2016-07-26 16:26:06,2015-02-27 18:35:21,74562088,7530770888,0,101,4913,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/001779/SRR1822190,SRX893754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP055677,PRJNA276702,2,276702,SRS859885,SAMN03379993,simple,9606,Homo sapiens,GSM1621379,,,,,,,no,,,,,GEO,SRA244995,,public,A59B823A7AD65CECDD1DE80F9F9E398D,3099A772486B839A2881F58C14898D63
SRR1736263,2014-12-31 16:18:08,2014-12-29 15:36:42,12042313,2432547226,12042313,202,1433,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/001695/SRR1736263,SRX825196,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051595,PRJNA271287,,271287,SRS804754,SAMN03273586,simple,9606,Homo sapiens,GSM1574058,,,,,,,no,,,,,GEO,SRA221629,,public,BCBBD9F31C3DFBD99E4FA09E564004F9,F3CA1A8C398F25757F71E9B4BBEA767E
SRR5067855,2017-06-20 16:29:37,2016-12-02 01:00:22,4209827,210491350,0,50,93,,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/004949/SRR5067855,SRX2388114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP094414,PRJNA355638,,355638,SRS1830014,SAMN06092890,simple,9606,Homo sapiens,GSM2411319,,,,,,,no,,,,,GEO,SRA500332,,public,A47D3D0AA623703095688B5969508CE6,88271549DB23D9D6CFC04F8D68C25C6E
SRR3405451,2016-09-28 16:33:26,2016-04-20 11:49:39,29820507,5964101400,29820507,200,3841,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003325/SRR3405451,SRX1715768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073607,PRJNA318998,2,318998,SRS1404740,SAMN04873570,simple,9606,Homo sapiens,GSM2127799,,,,,,,no,,,,,GEO,SRA416928,,public,325379C69F9BF33C5805FD22855835CD,29DFA06E8A05882F5C7379B80BBE7AF7
SRR3999497,2016-08-08 12:12:10,2016-08-04 07:53:16,70396,7039600,70396,100,3,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003905/SRR3999497,SRX1999967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP080915,PRJNA336476,2,336476,SRS1600758,SAMN05511339,simple,9606,Homo sapiens,GSM2259821,,,,,,,no,,,,,GEO,SRA448318,,public,7DE6BB37DDF2FA09B852240C880EAA32,3873A4D771C324F95C7ED12808D78DC1
SRR1107849,2014-01-14 13:35:07,2014-01-14 13:30:22,33403833,6747574266,0,202,4606,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/001081/SRR1107849,SRX259079,cDNA_Lib 17,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000996,PRJNA34535,,34535,SRS406769,SAMN01997278,simple,9606,Homo sapiens,BioSam 1282,,,,,,,no,,,,,BI,SRA009256,,public,BB5CCA27250202BCD34E6B32986BBDB5,8248D8FA42E642C2DAB1C74DDCEE68B7
ERR649025,2015-11-23 10:36:13,2015-12-02 18:06:20,38949480,7867794960,38949480,202,5107,,https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR649/ERR649025,ERX605379,RNAseq,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,150,0,ILLUMINA,Illumina HiSeq 2500,ERP007185,PRJEB7455,,303101,ERS561093,SAMEA2804174,simple,9606,Homo sapiens,PG038-T,,,,,,,no,,,,,LICAP,ERA366289,,public,3BE66E9071D9D0F351367D41D54D2D88,494F24CB48EC15F08DB0BEA09A2C3553
SRR1951666,2015-07-08 10:30:43,2015-04-02 20:51:37,12482004,674028216,0,54,461,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/001905/SRR1951666,SRX977727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056840,PRJNA280230,,280230,SRS892697,SAMN03458839,simple,9606,Homo sapiens,GSM1649438,,,,,,,no,,,,,GEO,SRA249776,,public,7DBDA1AAE8C97880EA4385D5269F927E,5C614E37487102840059582EAF85225B
SRR5174630,2017-03-12 12:13:05,2017-01-13 12:16:13,2279458,227945800,2279458,100,105,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/005053/SRR5174630,SRX2490892,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP096727,PRJNA361254,2,361254,SRS1920823,SAMN06229005,simple,9606,Homo sapiens,GSM2456432,,,,,,,no,,,,,GEO,SRA527201,,public,5E8473E78B0343D7BDBFC7E1129F32E8,3ECBC132C115642E003D07B313FB61A0
SRR4047303,2017-07-13 00:02:50,2016-08-29 16:30:13,1984822,396964400,1984822,200,227,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003952/SRR4047303,SRX2038160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082522,PRJNA339740,2,339740,SRS1631800,SAMN05604859,simple,9606,Homo sapiens,GSM2287044,,,,,,,no,,,,,GEO,SRA454039,,public,BC6FCCEE812315C79BD6E6013C1A6D34,65C17FDE55677A8CEACCB01A86B62331
SRR3675831,2016-06-21 13:49:01,2016-06-16 13:45:27,2586444,387966600,2586444,150,167,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/003589/SRR3675831,SRX1851085,IL6293_N702_N507,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP076678,PRJNA325371,,325371,SRS1508528,SAMN05256456,simple,9606,Homo sapiens,MYO-MAR-30-Day-0-C38-G2-IL6293-N702-N507_S36,,,,,female,,no,,,,,,SRA434351,,public,778DF72261F306ECFE84B55263190805,F98E931D4F49A15260AC698AB14BFE6D
ERR1102699,2016-04-02 13:21:22,2016-04-02 17:11:42,9010306,504577136,0,56,409,,https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR1102/ERR1102699,ERX1182207,Sample 20,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,ERP012958,PRJEB11558,,317205,ERS947102,SAMEA3639953,simple,9606,Homo sapiens,E-MATB-4009:Sample 20,,,,,,,no,,,,,CRUK Cambridge Institute Genomics facility,ERA527092,,public,0CD3FC037AEA0F92A94A1A45E10926F7,E77D31B123A04E760C2BB02B983AF87A
SRR5418177,2017-04-30 00:02:35,2017-04-05 12:21:09,2130416,215172016,0,101,106,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/005291/SRR5418177,SRX2709731,METRO5596_Kidney_C4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP103040,PRJNA379992,,379992,SRS2101737,SAMN06661593,simple,9606,Homo sapiens,METRO5596_Kidney,,,,,female,,no,,,,,,SRA551684,,public,7DF4E7301A6CEDA6C6EFE39A58A58910,B60E308C9BDDB4B3630E5EF0E87A0E92
SRR1706852,2015-03-13 16:10:28,2014-12-11 19:55:56,23414867,2341486700,0,100,779,,https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/001666/SRR1706852,SRX806732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051083,PRJNA270114,2,270114,SRS788362,SAMN03262995,simple,9606,Homo sapiens,GSM1564308,,,,,,,no,,,,,GEO,SRA214091,,public,3E479AF40B0469BE8588B1400360CBA7,49AA5E0281E043E5D5D7043E4D59C14C
SRR1661994,2014-11-28 11:07:08,2014-11-24 18:36:33,3473840,347384000,3473840,100,216,,https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/001623/SRR1661994,SRX767309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP050223,PRJNA268382,2,268382,SRS751955,SAMN03219208,simple,9606,Homo sapiens,GSM1553421,,,,,,,no,,,,,GEO,SRA204397,,public,44D1AAB04D9FC72413402D896B709594,ED3ED49E73960332A76CFE922E3B47FA
SRR765018,2015-12-31 16:34:12,2015-09-01 11:03:13,66220566,3244807734,0,49,2069,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/000747/SRR765018,SRX245614,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP018853,PRJNA190702,2,190702,SRS398172,SAMN01924900,simple,9606,Homo sapiens,GSM1088239,,,,,,,no,,,,,GEO,SRA067739,,public,6928B4BF3267CDA57EEB1D95BF6108FF,596CD1930C7CA0183461CDFF22B22938
SRR3090316,2016-06-03 15:52:14,2016-01-07 11:22:19,4000000,400000000,4000000,100,213,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/003017/SRR3090316,SRX1521127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP068190,PRJNA308187,2,308187,SRS1239316,SAMN04387944,simple,9606,Homo sapiens,GSM2029305,,,,,,,no,,,,,GEO,SRA331875,,public,1262FD7D4C16E0E94FB80C3FB75FAD79,E755CFA0AFA7CCA69BABF9E309F001C2
SRR5297301,2017-04-03 16:46:09,2017-02-28 14:52:34,4000000,400000000,0,100,168,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/005173/SRR5297301,SRX2599535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100860,PRJNA377314,2,377314,SRS2016299,SAMN06471255,simple,9606,Homo sapiens,GSM2515769,,,,,,,no,,,,,GEO,SRA541557,,public,4E807EAC71E6EDF6C6932EAD2AEA8838,12928D91ABB41EE8EEF3096F8F91E0CE
SRR3052660,2017-05-15 17:09:27,2015-12-23 16:57:49,1549312,79014912,0,51,50,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002981/SRR3052660,SRX1501003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067759,PRJNA306878,2,306878,SRS1222358,SAMN04365442,simple,9606,Homo sapiens,GSM1980700,,,,,,,no,,,,,GEO,SRA322626,,public,33729BBBF4C59381BD6EF744334662BA,8A61FAE0222987549E82B7D7F14D91BD
SRR3534304,2016-09-06 15:49:11,2016-05-17 12:35:47,845587,84558700,0,100,60,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003451/SRR3534304,SRX1768776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075248,PRJNA321741,2,321741,SRS1441450,SAMN05003091,simple,9606,Homo sapiens,GSM2154125,,,,,,,no,,,,,GEO,SRA426370,,public,CB25C2BC0C53B4F709CA0FAB2464BEA7,20294DB400A9D5BC0F6891C4502FB9FF
ERR1633050,2016-09-30 22:41:56,2016-10-05 23:51:33,512378,22032254,0,43,18,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR1633/ERR1633050,ERX1703383,HP1525301T2D_M12_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP017126,PRJEB15401,,344141,ERS1351507,SAMEA4440058,simple,9606,Homo sapiens,SAMEA4440058,,,,,,,no,,,,,Asa Segerstolpe,ERA705448,,public,C3EFC26DB8FC9358BA1EEF4776E63C6F,F0AB4456B0FB190F7B616341DE2CBB67
SRR976761,2014-01-02 15:46:03,2013-09-11 17:35:29,61044242,12330936884,61044242,202,8310,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000953/SRR976761,SRX348812,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP029899,PRJNA218926,2,218926,SRS479555,SAMN02354073,simple,9606,Homo sapiens,GSM1229369,,,,,,,no,,,,,GEO,SRA101245,,public,066A6D4CD3D625BC9026081A997C7798,BA1A423AE1A16A8378A71710EDE89474
SRR3623989,2016-06-09 00:00:00,2016-06-03 13:03:35,191852299,19185229900,191852299,100,11955,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/003539/SRR3623989,SRX1818959,CB+BB5d-4_A08366_D09L3ACXX_5,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075717,PRJNA319866,,319866,SRS1482837,SAMN05195258,simple,9606,Homo sapiens,CB+BB5d-4,,,,,not determined,,no,,,,,,SRA430697,,public,7329896F7AB64566C80C403B828579D3,35D61E4ED8F25833170880E680A838D2
SRR3304522,2016-12-29 16:04:19,2016-03-28 10:18:53,27762412,2776241200,0,100,1786,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003227/SRR3304522,SRX1665614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072417,PRJNA316573,2,316573,SRS1364636,SAMN04585577,simple,9606,Homo sapiens,GSM2099989,,,,,,,no,,,,,GEO,SRA399135,,public,DFE5747FDB57F9100A3E69A2E4F1E37E,BDC0AFF14F9C92791B00692D8916B4DA
SRR772482,2013-04-01 15:32:09,2013-03-14 09:33:40,2115029,105751450,0,50,92,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/000754/SRR772482,SRX249171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP019272,PRJNA193159,2,193159,SRS401260,SAMN01978099,simple,9606,Homo sapiens,GSM1098272,,,,,,,no,,,,,GEO,SRA068968,,public,A21DBA4361F9AC948180D283AE1030B8,C783E93508284926EBD1C2EB2036316B
SRR1516051,2017-07-03 09:32:18,2014-07-16 15:48:31,83678472,16903051344,83678472,202,10185,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/001480/SRR1516051,SRX653734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044373,PRJNA255416,2,255416,SRS661300,SAMN02918391,simple,9606,Homo sapiens,GSM1437670,,,,,,,no,,,,,GEO,SRA175378,,public,6F9B39C5A7B5CFDBE84EC18BF74218E5,60AF376E5C26A3AA5DECFD1129671742
SRR4251937,2016-09-30 15:56:31,2016-09-16 11:47:14,2215801,221580100,2215801,100,145,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004152/SRR4251937,SRX2171938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090061,PRJNA343288,,343288,SRS1699614,SAMN05780140,simple,9606,Homo sapiens,GSM2318156,,,,,,,no,,,,,GEO,SRA472738,,public,39EE440D903295947B4E06B6C0855419,9CBE48AD931916740CBD460315F3CE13
SRR5375533,2017-07-17 16:15:13,2017-03-25 12:29:35,130235,6772220,130235,52,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/005249/SRR5375533,SRX2670906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102433,PRJNA380343,,380343,SRS2070285,SAMN06641180,simple,9606,Homo sapiens,GSM2548901,,,,,,,no,,,,,GEO,SRA548986,,public,3AB51B44121A4837EB596455BA17FB3D,F1661E9774FBDFF2B26D184544D748A7
ERR599185,2015-03-26 10:30:27,2015-03-26 10:37:11,21557657,2177323357,0,101,1520,,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR599/ERR599185,ERX556150,Oci-ly10 AzaPBA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006964,PRJEB7260,,279474,ERS542794,SAMEA2768224,simple,9606,Homo sapiens,E-MTAB-2925:Oci-ly10 AzaPBA,,,,,female,,no,,,,,"Functional Genomics Center Zurich, University/ETH Zurich, Switzerland",ERA357893,,public,9456881C30B2B6E550F707B589F21CE3,54D18034E4321C82B8D881F571BEC71A
SRR3126423,2016-07-08 16:13:15,2016-01-28 01:39:00,2593567,259356700,0,100,116,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/003053/SRR3126423,SRX1548463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP068957,PRJNA309972,2,309972,SRS1266071,SAMN04442907,simple,9606,Homo sapiens,GSM2047349,,,,,,,no,,,,,GEO,SRA342032,,public,38D4983C0A9A0098EB0CEB880FA126D5,BE689FD2977CDEED770AC93F620A62B2
SRR2963479,2017-01-19 16:24:32,2015-11-30 11:51:30,312,62400,312,200,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002894/SRR2963479,SRX1454102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1182465,SAMN04300474,simple,9606,Homo sapiens,GSM1955894,,,,,,,no,,,,,GEO,SRA314130,,public,3DAEC0721BD5E5E4453E6CC978E41F93,12F7FC614EDF443FD8781F5C614ED8D2
SRR3939646,2017-08-10 00:00:54,2016-07-21 15:31:04,1708186,257693497,1708186,150,93,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003847/SRR3939646,SRX1968615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP079213,PRJNA330840,,330840,SRS1578002,SAMN05427406,simple,9606,Homo sapiens,GSM2247672,,,,,,,no,,,,,GEO,SRA442904,,public,71B78EA74377716AF3C13C707D97B10F,633F154C7244686FA9B81895FDDB56BE
SRR5418231,2017-04-30 00:02:36,2017-04-05 12:22:12,1483805,149864305,0,101,75,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/005291/SRR5418231,SRX2709785,METRO5596_Kidney_C9,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP103040,PRJNA379992,,379992,SRS2101737,SAMN06661593,simple,9606,Homo sapiens,METRO5596_Kidney,,,,,female,,no,,,,,,SRA551684,,public,C1C0610C5B6A560142663243252B878E,3949BD9E5818DC3D52E11E0EEE69E578
SRR5509676,2017-08-17 16:15:21,2017-05-04 16:00:32,8857749,620042430,8857749,70,263,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/005380/SRR5509676,SRX2784960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP106481,PRJNA385514,2,385514,SRS2166971,SAMN06891881,simple,9606,Homo sapiens,GSM2599700,,,,,,,no,,,,,GEO,SRA559826,,public,5114133CB64A47DA7714A44EFA0AC78B,3151CB5CC511A4527DB27471407E7A51
SRR3650275,2016-07-05 16:42:15,2016-06-08 18:35:36,2879930,287993000,0,100,106,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/003564/SRR3650275,SRX1832273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076307,PRJNA325005,2,325005,SRS1493351,SAMN05217384,simple,9606,Homo sapiens,GSM2194423,,,,,,,no,,,,,GEO,SRA431928,,public,55CF205FD9FF1B08B2A29FFC6AB6BD26,724C554A4C0FCB177D970A9A4F4F9709
